Municipio,Sector,Estrato,Servicio,Cargo Fijo,Cargo por Consumo Menor,Cargo por Consumo Mayor,Cargo por Consumo,Suspensión,Reinstalación,Reconexión,Corte,Año,Mes
Itaguí,Residencial,3,acueducto,8137.62,1685.02,1773.70,0.00,10326.62,8851.87,16229.00,17703.74,2017,Mayo
La Estrella,Comercial,Comercial,acueducto,12870.41,0.00,0.00,2665.64,10326.62,8851.87,16229.00,17703.74,2017,Marzo
Copacabana,Residencial,1,alcantarillado,2299.23,877.61,1755.23,0.00,0.00,0.00,0.00,0.00,2017,Julio
Itaguí,Residencial,3,alcantarillado,4234.71,1617.24,1702.36,0.00,0.00,0.00,0.00,0.00,2017,Febrero
Itaguí,Comercial,Comercial,acueducto,13705.46,0.00,0.00,2837.93,10326.62,8851.87,16229.00,17703.74,2017,Julio
Bello,Comercial,Comercial,alcantarillado,7127.62,0.00,0.00,2729.02,0.00,0.00,0.00,0.00,2017,Noviembre
Barbosa,Residencial,1,acueducto,5996.14,914.93,1307.04,0.00,10326.62,8851.87,16229.00,17703.74,2017,Mayo
Barbosa,Residencial,5,alcantarillado,6897.70,1427.90,1427.90,0.00,0.00,0.00,0.00,0.00,2017,Mayo
La Estrella,Residencial,3,acueducto,8565.91,1775.61,1775.61,0.00,10326.62,8851.87,16229.00,17703.74,2017,Noviembre
Caldas,Oficial y Exenta,Oficial y Exenta,alcantarillado,4598.47,0.00,0.00,647.59,0.00,0.00,0.00,0.00,2017,Agosto
Medellin,Residencial,5,alcantarillado,6897.70,2640.98,2640.98,0.00,0.00,0.00,0.00,0.00,2017,Agosto
Barbosa,Residencial,5,acueducto,12848.87,1963.42,1963.42,0.00,10326.62,8851.87,16229.00,17703.74,2017,Octubre
Bello,Residencial,3,acueducto,8565.91,1773.70,1773.70,0.00,10326.62,8851.87,16229.00,17703.74,2017,Julio
Barbosa,Residencial,4,alcantarillado,4598.47,951.93,951.93,0.00,0.00,0.00,0.00,0.00,2017,Julio
Caldas,Oficial y Exenta,Oficial y Exenta,acueducto,8556.37,0.00,0.00,1459.05,10326.62,8851.87,16229.00,17703.74,2017,Enero
Sabaneta,Residencial,4,alcantarillado,4457.59,1702.36,1702.36,0.00,0.00,0.00,0.00,0.00,2017,Marzo
Girardota,Residencial,2,acueducto,5139.55,1065.37,1775.61,0.00,10326.62,8851.87,16229.00,17703.74,2017,Noviembre
Itaguí,Comercial,Comercial,alcantarillado,6897.70,0.00,0.00,2632.84,0.00,0.00,0.00,0.00,2017,Julio
Envigado,Residencial,4,alcantarillado,4598.47,1760.66,1760.66,0.00,0.00,0.00,0.00,0.00,2017,Diciembre
Sabaneta,Industrial,Industrial,acueducto,12309.22,0.00,0.00,2548.81,10326.62,8851.87,16229.00,17703.74,2017,Junio
Envigado,Residencial,1,acueducto,2569.77,532.11,1773.70,0.00,10326.62,8851.87,16229.00,17703.74,2017,Abril
Barbosa,Residencial,1,acueducto,5812.44,887.18,1267.40,0.00,10326.62,8851.87,16229.00,17703.74,2017,Febrero
Barbosa,Residencial,5,alcantarillado,6886.44,1529.01,1529.01,0.00,0.00,0.00,0.00,0.00,2017,Enero
Girardota,Residencial,3,alcantarillado,3788.95,1447.01,1702.36,0.00,0.00,0.00,0.00,0.00,2017,Marzo
Barbosa,Industrial,Industrial,acueducto,12848.87,0.00,0.00,1963.42,10326.62,8851.87,16229.00,17703.74,2017,Octubre
Copacabana,Residencial,3,acueducto,8556.37,2046.93,2046.93,0.00,10326.62,8851.87,16229.00,17703.74,2017,Enero
Itaguí,Industrial,Industrial,alcantarillado,5978.01,0.00,0.00,2281.79,0.00,0.00,0.00,0.00,2017,Junio
Envigado,Residencial,2,alcantarillado,2759.08,1056.39,1760.66,0.00,0.00,0.00,0.00,0.00,2017,Agosto
Barbosa,Residencial,3,acueducto,8565.91,1307.04,1307.04,0.00,10326.62,8851.87,16229.00,17703.74,2017,Abril
Girardota,Comercial,Comercial,alcantarillado,6897.70,0.00,0.00,2640.98,0.00,0.00,0.00,0.00,2017,Diciembre
Caldas,Residencial,6,acueducto,13705.46,2407.59,2407.59,0.00,10326.62,8851.87,16229.00,17703.74,2017,Mayo
Barbosa,Oficial y Exenta,Oficial y Exenta,acueducto,8565.91,0.00,0.00,1308.95,10326.62,8851.87,16229.00,17703.74,2017,Agosto
Caldas,Residencial,6,alcantarillado,7357.55,1036.14,1036.14,0.00,0.00,0.00,0.00,0.00,2017,Agosto
La Estrella,Residencial,4,alcantarillado,4598.47,1760.66,1760.66,0.00,0.00,0.00,0.00,0.00,2017,Agosto
Sabaneta,Residencial,5,acueducto,12848.87,2663.42,2663.42,0.00,10326.62,8851.87,16229.00,17703.74,2017,Septiembre
Girardota,Residencial,6,acueducto,13285.58,2751.63,2751.63,0.00,10326.62,8851.87,16229.00,17703.74,2017,Marzo
Caldas,Residencial,3,acueducto,8556.37,1539.36,1539.36,0.00,10326.62,8851.87,16229.00,17703.74,2017,Enero
Itaguí,Residencial,2,alcantarillado,2989.00,1144.43,1760.66,0.00,0.00,0.00,0.00,0.00,2017,Noviembre
Caldas,Residencial,6,alcantarillado,7345.54,1133.53,1133.53,0.00,0.00,0.00,0.00,0.00,2017,Enero
